id_cmd|id_c|id_v|quantite_et_pdt|date_cmd
1|13|2|[{id_produit=57, quantite=6}, {id_produit=48, quantite=15}, {id_produit=35, quantite=7}, {id_produit=5, quantite=1}]|21-06-2022
2|75|4|[{id_produit=44, quantite=3}, {id_produit=45, quantite=1}, {id_produit=16, quantite=11}, {id_produit=19, quantite=5}, {id_produit=29, quantite=5}, {id_produit=29, quantite=19}, {id_produit=42, quantite=8}, {id_produit=36, quantite=4}, {id_produit=57, quantite=18}, {id_produit=22, quantite=9}, {id_produit=9, quantite=2}, {id_produit=51, quantite=5}, {id_produit=3, quantite=1}]|09-10-2021
3|14|5|[{id_produit=52, quantite=18}, {id_produit=9, quantite=1}, {id_produit=41, quantite=6}, {id_produit=5, quantite=14}, {id_produit=2, quantite=11}, {id_produit=41, quantite=17}, {id_produit=28, quantite=17}, {id_produit=27, quantite=19}, {id_produit=25, quantite=2}, {id_produit=59, quantite=7}, {id_produit=38, quantite=16}, {id_produit=46, quantite=4}, {id_produit=35, quantite=20}, {id_produit=28, quantite=12}, {id_produit=53, quantite=12}, {id_produit=9, quantite=1}, {id_produit=14, quantite=14}]|28-10-2022
4|45|2|[{id_produit=25, quantite=8}, {id_produit=9, quantite=13}, {id_produit=32, quantite=8}, {id_produit=14, quantite=11}]|02-09-2022
5|64|2|[{id_produit=2, quantite=9}, {id_produit=43, quantite=7}, {id_produit=37, quantite=10}, {id_produit=53, quantite=5}, {id_produit=41, quantite=3}, {id_produit=9, quantite=17}, {id_produit=26, quantite=20}, {id_produit=22, quantite=5}]|15-08-2022
6|39|2|[{id_produit=51, quantite=4}, {id_produit=55, quantite=18}, {id_produit=14, quantite=11}, {id_produit=33, quantite=8}, {id_produit=4, quantite=5}, {id_produit=14, quantite=15}, {id_produit=16, quantite=4}, {id_produit=55, quantite=5}, {id_produit=30, quantite=9}, {id_produit=50, quantite=4}, {id_produit=34, quantite=12}, {id_produit=15, quantite=11}, {id_produit=45, quantite=6}, {id_produit=31, quantite=2}, {id_produit=25, quantite=19}]|23-04-2021
7|94|4|[{id_produit=51, quantite=4}, {id_produit=25, quantite=7}, {id_produit=25, quantite=20}, {id_produit=11, quantite=5}, {id_produit=60, quantite=3}, {id_produit=29, quantite=10}, {id_produit=22, quantite=2}, {id_produit=5, quantite=7}, {id_produit=5, quantite=6}, {id_produit=22, quantite=6}, {id_produit=34, quantite=9}, {id_produit=31, quantite=17}, {id_produit=51, quantite=16}, {id_produit=37, quantite=1}, {id_produit=5, quantite=11}, {id_produit=40, quantite=18}]|16-04-2021
8|33|2|[{id_produit=28, quantite=12}, {id_produit=17, quantite=8}, {id_produit=42, quantite=4}, {id_produit=60, quantite=13}, {id_produit=26, quantite=19}, {id_produit=56, quantite=9}, {id_produit=42, quantite=17}, {id_produit=5, quantite=7}, {id_produit=53, quantite=10}, {id_produit=48, quantite=5}, {id_produit=42, quantite=2}, {id_produit=35, quantite=10}, {id_produit=43, quantite=15}, {id_produit=44, quantite=14}]|19-06-2022
9|19|1|[{id_produit=22, quantite=18}]|17-10-2021
10|80|3|[{id_produit=36, quantite=12}, {id_produit=59, quantite=17}, {id_produit=24, quantite=2}, {id_produit=38, quantite=7}, {id_produit=20, quantite=15}, {id_produit=2, quantite=18}, {id_produit=30, quantite=18}, {id_produit=45, quantite=11}]|11-09-2022
11|62|5|[{id_produit=11, quantite=18}, {id_produit=46, quantite=12}, {id_produit=26, quantite=11}]|31-03-2021
12|92|2|[{id_produit=21, quantite=12}, {id_produit=28, quantite=20}, {id_produit=5, quantite=2}]|22-06-2021
13|72|5|[{id_produit=42, quantite=19}, {id_produit=9, quantite=15}, {id_produit=23, quantite=10}, {id_produit=27, quantite=19}, {id_produit=9, quantite=18}, {id_produit=15, quantite=20}, {id_produit=10, quantite=7}, {id_produit=10, quantite=18}, {id_produit=55, quantite=3}, {id_produit=21, quantite=11}, {id_produit=30, quantite=1}, {id_produit=50, quantite=5}, {id_produit=45, quantite=1}, {id_produit=35, quantite=4}, {id_produit=3, quantite=8}, {id_produit=35, quantite=3}, {id_produit=51, quantite=10}, {id_produit=22, quantite=6}, {id_produit=22, quantite=13}, {id_produit=40, quantite=5}]|26-05-2021
