produit;commande;quantite
25;2702;1
72;2661;32
46;1325;13
79;2665;98
76;88;18
7;1692;21
40;485;10
93;2101;22
40;2196;6
55;2957;57
29;2762;29
4;2814;85
72;2195;28
59;942;73
9;1051;40
70;2874;60
87;522;77
4;1886;67
96;2344;74
1;1796;60
95;2558;2
67;1267;12
56;1297;98
26;1117;46
48;2807;73
28;1716;73
40;796;76
75;370;82
6;1588;83
95;1467;83
93;703;17
19;697;92
47;1607;23
18;1153;90
10;548;17
72;1445;65
87;641;91
95;1984;22
93;2761;79
85;1438;3
75;2343;92
58;793;66
69;2104;56
59;2502;56
56;2036;90
100;2793;39
62;2073;59
67;640;95
16;2975;99
56;1665;1
62;1583;77
68;1006;72
87;810;54
99;775;94
52;1421;19
56;716;56
30;283;91
88;2408;8
32;2545;17
62;1415;98
35;1661;40
10;1235;44
98;1332;96
17;136;6
78;1731;42
27;572;47
32;855;89
52;472;98
36;521;11
82;149;23
71;725;26
25;426;5
48;261;49
53;1618;5
50;296;69
23;336;16
65;2202;1
33;2194;89
92;40;25
42;2856;90
62;569;36
79;1009;12
100;442;2
63;123;13
26;2128;21
77;2951;62
76;1655;7
16;636;85
87;1977;77
13;2778;63
62;2282;91
16;2128;41
2;1682;17
66;2067;64
34;2685;40
88;2239;42
0;1750;80
52;632;17
39;213;96
16;990;39
55;583;66
21;2624;92
0;1651;64
74;2219;20
77;1783;11
66;2441;3
56;2635;85
94;360;66
35;250;10
14;1922;56
57;2306;49
28;2270;8
52;2961;7
42;405;84
37;1062;62
9;1515;70
48;2564;70
100;526;49
20;54;99
54;1700;4
25;314;12
34;1408;8
55;1308;16
46;774;99
22;2873;37
29;1781;5
34;64;34
31;1387;57
43;2219;86
82;2622;74
23;2902;13
14;979;79
26;2996;40
51;1788;66
7;482;9
93;2644;52
55;1990;62
80;1137;92
11;586;42
57;893;81
55;1737;43
17;1069;21
51;621;55
38;2290;83
38;2546;77
23;659;6
95;245;93
35;2998;89
43;2168;4
46;2448;35
64;1910;1
35;1543;62
90;2133;27
72;2231;89
1;2036;75
3;2642;11
86;62;91
64;465;64
49;91;10
92;2705;71
52;1454;94
100;1854;7
15;42;0
27;2706;20
18;878;66
36;1096;4
62;2071;37
70;2023;40
52;583;82
63;2216;28
13;2901;77
75;664;9
67;889;46
85;58;30
12;1546;64
68;2288;48
100;2098;66
